2,19730,2876,6668,333,933,1374,1811,1028,3518,1559,634,1294,387,1863,7459,25,2,5
3,19830,2773,6485,592,1633,1621,2190,897,3264,1708,769,1238,336,1952,7759,39,3,1
4,19880,2800,6501,340,984,1599,2146,1033,3641,1900,665,1124,455,1753,7539,39,2,4
1,19855,2721,6411,329,950,1410,1909,926,3186,1810,675,1197,379,1902,7181,25,2,6
3,19830,2890,6532,220,659,1561,2040,1015,3455,1708,642,1297,436,1904,7561,54,7,10
5,19805,3085,6716,517,1357,1552,1954,831,3402,1740,618,1094,492,1907,8239,43,3,2
4,19780,2979,6877,512,1444,1448,1964,1044,3627,1970,552,1092,538,1820,7918,45,4,7
3,19855,2919,6880,389,1112,1610,2233,1108,3734,1629,613,1265,447,1955,7837,36,2,5
1,19780,2937,7175,282,964,1428,2024,1345,3730,1788,742,1253,410,1727,7584,30,1,4
4,19830,2943,6494,504,1412,1582,2086,919,3443,1613,587,1136,358,1657,7972,50,2,1
4,19980,2828,6431,396,1159,1539,2009,921,3516,1763,563,1173,487,1926,7591,47,5,9
3,20030,2896,6467,360,1063,1429,2061,962,3521,1585,490,1212,513,1775,7581,42,5,4
5,19905,3109,6685,439,1275,1594,2333,1085,3668,1888,564,1137,490,1872,8251,40,5,7
5,19880,2694,6258,478,1384,1423,1874,813,3248,1630,633,1076,304,1726,7289,43,1,10
5,19780,3112,6798,562,1481,1474,1874,975,3475,1844,672,1082,386,1928,8260,44,3,8
4,19830,3148,6871,322,901,1364,1737,1002,3472,2083,682,1105,456,1900,7982,29,1,7
2,19730,2781,6550,361,1084,1629,2146,909,3246,1603,649,1139,407,1982,7552,29,1,5
4,19905,2755,6198,391,1115,1374,1727,773,3297,1520,545,1132,346,1863,7275,31,3,5
4,19955,3013,6873,490,1346,1476,2068,1069,3519,1803,674,1216,481,2071,7992,35,4,7
5,19855,2902,6487,262,803,1697,2277,1075,3675,1692,690,1231,408,1673,7763,40,1,0
5,19805,2944,6757,332,1054,1490,1973,970,3499,1905,775,1208,429,1863,7710,33,4,1
5,19780,3004,6417,369,1057,1447,1899,960,3441,1963,672,1211,419,1745,7824,89,17,6
5,20080,3132,6969,479,1353,1600,2075,987,3692,1852,793,1178,432,1596,8343,41,3,4
5,19830,2884,6262,445,1094,1673,2340,902,3614,1778,568,1099,576,1551,7886,16,2,4
4,19805,3029,6649,466,1169,1454,1986,999,3421,1792,657,1201,409,1733,7978,50,3,1
4,19955,3048,6972,429,1164,1482,1984,1118,3647,2004,599,1043,519,1745,8007,51,4,4
5,19780,2960,6289,325,852,1714,2280,943,3326,2110,661,1250,463,2107,7959,53,3,7
2,19780,2870,6539,325,947,1457,1892,894,3325,1899,586,1237,359,1733,7522,26,1,1
1,19680,2833,6453,275,848,1704,2245,1016,3386,1647,630,1321,383,1913,7645,28,2,2
3,19780,2901,6610,423,1194,1486,1942,955,3400,1656,667,1203,350,1702,7711,26,2,7
4,19830,2852,6731,699,1946,1498,1960,891,3461,1722,793,1082,293,1775,7901,42,3,8
4,19755,2893,6580,346,994,1568,2105,1059,3564,1759,653,1108,456,1747,7700,49,6,1
2,19805,2811,6491,300,868,1413,1958,924,3283,1817,633,1169,361,1834,7335,38,3,12
2,19855,2948,6582,387,1026,1529,1980,968,3451,1891,572,1129,470,1752,7812,24,1,3
5,19880,3200,6930,621,1645,1608,1994,918,3486,1811,581,958,386,1841,8629,47,1,7
2,19805,2915,6870,423,1285,1306,1756,1117,3427,1817,613,1130,462,1871,7559,45,4,4
5,19680,2846,6301,568,1510,1478,1954,810,3176,1765,648,1135,565,1695,7738,50,4,5
2,19780,2998,6989,320,994,1693,2344,1334,3827,1706,650,1325,523,1884,8009,50,5,11
2,19980,2837,6629,496,1480,1402,1893,1025,3436,1482,537,1074,445,1476,7572,41,4,5
4,19905,2935,6580,405,1195,1663,2155,930,3498,1884,658,1191,436,1876,7938,60,5,9
3,19806,2970,6668,408,1147,1498,2026,1083,3557,1714,510,1150,540,1625,7846,33,1,4
5,19780,3150,6839,510,1439,1494,2138,1022,3629,1882,625,995,478,1823,8304,50,7,8
3,19930,2801,6382,312,899,1236,1708,902,3446,1664,547,1153,448,1846,7150,43,1,9
4,19905,3041,6577,593,1583,1321,1767,841,3398,1847,596,1112,388,1788,7996,57,5,4
5,19805,3175,6887,396,1047,1399,1754,1059,3621,1993,524,1069,427,1739,8145,27,4,7
5,19830,3042,6816,403,1194,1402,1907,1039,3554,1990,716,1169,490,1734,7889,24,2,9
3,19805,2817,6520,474,1344,1406,1786,876,3334,1720,558,1155,288,1800,7514,27,3,6
4,19830,3087,6893,620,1660,1446,1917,942,3382,1804,665,1085,384,1700,8240,23,2,3
4,19730,2804,6436,214,715,1639,2104,1092,3626,1638,705,1176,363,1646,7461,48,6,9
3,19830,3097,6934,358,1096,1250,1630,1073,3501,1837,668,1167,400,1784,7802,26,0,4
4,19830,3004,6671,466,1318,1451,1901,1085,3529,1926,702,1117,368,1613,7925,86,9,7
6,19755,3267,7003,426,1160,1618,2154,1013,3715,1958,741,1095,375,1560,8578,41,2,4
5,19855,2913,6363,438,1211,1668,2249,907,3473,1643,625,1133,537,1575,7932,29,3,3
4,19830,3131,6681,489,1292,1263,1672,968,3301,1926,698,1085,364,1732,8014,32,1,4
4,19755,2919,6727,387,1109,1269,1717,1114,3450,1779,688,1109,454,1771,7494,36,0,7
4,19830,2869,6374,280,842,1853,2430,1109,3458,1999,749,1290,523,1971,7871,36,2,0
2,19780,2851,6535,336,1096,1334,1883,984,3397,1785,646,1290,488,1571,7372,31,3,2
3,19730,2938,6664,305,786,1428,1866,1055,3448,1715,570,999,354,1763,7609,16,2,6
3,19905,2859,6434,402,1141,1594,2011,937,3495,1679,611,1304,474,1783,7714,25,3,4
