18,23,9890,1495,3343,192,506,712,947,533,1744,774,318,610,167,949,3894
20,21,9914,1388,3272,281,776,808,1085,471,1716,851,388,630,158,978,3865
28,13,9965,1433,3274,155,478,785,1050,516,1817,1057,350,554,240,889,3806
10,31,9890,1340,3164,158,467,727,995,454,1617,990,324,588,201,956,3565
20,21,9965,1438,3248,109,324,830,1046,515,1801,921,311,658,258,949,3815
28,13,9890,1570,3424,263,686,814,1043,469,1791,902,294,532,271,984,4217
29,12,9890,1527,3442,273,745,718,974,511,1847,1102,269,545,346,922,4045
18,23,9940,1439,3379,203,553,815,1138,550,1888,781,313,651,247,972,3896
11,30,9940,1511,3622,158,511,719,1043,710,1934,942,379,633,204,891,3899
24,17,9940,1482,3278,226,678,779,1016,490,1788,799,291,585,182,808,3969
26,15,9963,1431,3218,215,569,786,1021,474,1782,956,296,547,281,940,3863
22,19,10040,1469,3244,185,525,713,1023,493,1765,801,247,614,273,852,3836
31,10,9915,1603,3436,230,659,774,1127,580,1900,947,262,550,247,943,4210
29,12,9915,1381,3136,225,667,724,936,400,1600,800,335,511,160,854,3711
31,10,9890,1576,3352,271,729,713,914,479,1734,1009,346,539,193,903,4136
30,11,9915,1583,3400,144,449,701,914,452,1780,1106,326,527,248,917,4011
18,23,9890,1423,3297,189,520,841,1093,477,1648,863,333,556,232,1004,3876
30,11,9965,1433,3112,202,553,676,837,404,1689,780,272,562,176,879,3744
26,15,9940,1518,3423,260,697,789,1105,528,1780,892,353,626,252,1011,4085
29,12,9938,1478,3262,133,401,892,1178,565,1837,885,359,600,191,819,3981
31,10,9840,1507,3400,161,514,736,974,511,1765,1019,401,603,216,927,3911
28,13,9840,1544,3217,183,521,723,937,468,1692,1028,360,592,191,861,3994
33,8,10015,1604,3518,237,689,833,1080,509,1888,960,412,593,225,812,4278
33,8,9915,1461,3146,223,552,874,1193,441,1833,920,296,540,346,778,4019
26,15,9865,1531,3276,235,567,731,980,454,1669,956,349,589,224,873,4028
27,14,10015,1532,3506,230,631,743,990,568,1869,1035,306,521,347,842,4037
28,13,9915,1498,3129,178,450,892,1208,478,1724,1066,335,633,273,1068,4066
15,26,9915,1461,3259,153,475,715,938,431,1697,982,266,586,202,850,3790
12,29,9840,1435,3230,140,438,908,1170,514,1746,829,319,652,225,938,3918
26,15,9940,1458,3189,206,575,853,1070,455,1749,891,309,640,224,905,3975
25,16,9990,1387,3282,381,1088,674,937,443,1725,861,381,575,155,829,3829
27,14,9890,1524,3324,183,484,748,1027,491,1816,956,301,637,238,993,3979
14,27,9966,1487,3481,160,463,756,1000,602,1901,912,303,670,310,918,3890
33,8,9890,1585,3483,289,775,792,964,487,1808,936,357,447,224,872,4251
13,28,9865,1318,3297,116,415,705,1009,574,1804,923,343,677,261,1035,3457
30,11,9915,1363,3063,279,759,795,1051,413,1639,828,283,540,272,853,3800
24,17,9840,1563,3476,222,623,967,1243,709,1997,911,275,615,292,876,4315
28,13,9915,1450,3247,228,652,772,981,502,1791,808,305,565,264,797,3900
32,9,9890,1496,3315,192,529,852,1106,512,1910,1057,354,556,263,880,4036
16,25,9865,1401,3208,204,599,816,1092,475,1722,824,267,588,258,882,3822
31,10,9965,1603,3464,256,673,766,1061,559,1867,1057,331,595,250,950,4228
20,21,10015,1567,3357,278,689,753,1021,471,1747,1020,338,615,271,862,4165
16,25,9915,1405,3286,180,572,631,819,453,1674,749,308,517,168,907,3621
25,16,9965,1563,3299,317,773,744,965,434,1608,964,313,509,180,907,4187
33,8,9915,1660,3473,175,425,630,851,475,1815,1125,253,529,226,836,4125
33,8,9865,1503,3292,175,500,825,1090,472,1787,991,378,625,205,869,4006
29,12,9965,1515,3346,213,562,748,964,546,1827,1023,358,584,214,873,3991
24,17,9940,1501,3365,308,774,664,822,443,1639,886,290,569,108,932,3974
26,15,9891,1522,3409,273,796,866,1111,484,1695,834,352,534,153,960,4183
25,16,9965,1488,3321,125,388,934,1198,532,1781,970,436,580,145,914,4035
30,11,9915,1514,3365,210,573,751,969,514,1759,908,330,562,221,869,3989
27,14,9865,1540,3234,189,567,713,971,494,1673,996,355,585,154,798,3982
35,6,9915,1647,3473,280,663,680,917,456,1863,1006,368,597,260,801,4254
33,8,9915,1470,3170,227,678,797,1113,486,1783,817,329,603,293,815,3964
25,16,9940,1442,3280,231,629,654,870,455,1672,902,359,509,156,844,3769
15,26,9915,1455,3345,212,594,666,918,507,1692,817,315,528,184,899,3788
29,12,9915,1477,3120,123,341,872,1184,545,1789,1063,363,620,290,908,3949
23,18,9966,1454,3172,125,427,863,1091,447,1674,830,320,534,207,802,3896
18,23,9965,1438,3265,212,615,855,1088,520,1819,832,312,609,190,930,3943
19,22,9840,1436,3236,288,817,776,1022,452,1717,848,362,645,208,918,3936
14,27,9915,1376,3402,214,620,679,940,563,1872,933,337,612,191,979,3645
23,18,9940,1493,3445,131,400,800,1037,587,1893,963,283,535,289,846,3917
36,5,9890,1733,3608,275,748,748,934,594,1912,1015,316,461,219,790,4489
29,12,9890,1542,3423,173,501,864,1139,543,1801,1044,397,598,295,875,4121
31,10,9840,1408,3180,187,506,749,1032,529,1800,925,316,596,335,814,3752
27,14,9965,1482,3295,205,622,800,1101,569,1897,865,278,581,195,871,3969
27,14,9990,1414,3137,252,696,646,859,446,1789,840,290,652,214,848,3726
34,7,9865,1362,3187,222,632,797,1028,510,1763,958,388,525,222,817,3743
18,23,9915,1435,3318,161,492,911,1171,574,1770,863,306,612,181,897,3942
34,7,9890,1522,3312,162,510,860,1232,513,1812,1010,347,564,192,858,4066
31,10,9865,1491,3326,219,632,827,1144,564,1810,999,419,584,296,926,4028
29,12,9915,1401,3210,243,680,772,1006,460,1723,766,312,523,172,855,3817
27,14,9915,1516,3309,225,596,889,1163,496,1753,1007,256,513,197,824,4146
31,10,9865,1535,3267,158,439,691,892,435,1800,1050,271,474,239,848,3919
28,13,9840,1436,3173,190,544,731,958,452,1719,1052,364,620,183,858,3793
25,16,9940,1402,3268,262,780,774,1044,512,1745,942,376,548,185,831,3840
23,18,9940,1471,3297,205,564,686,873,511,1835,826,286,623,205,959,3833
11,30,9940,1463,3400,210,607,742,1000,522,1679,755,275,528,162,860,3878
21,20,9915,1376,3154,160,499,714,966,490,1733,839,331,593,169,850,3626
18,23,9865,1486,3294,231,606,723,970,431,1673,760,363,593,193,918,3926
25,16,10015,1484,3260,183,537,664,907,519,1710,971,328,540,204,770,3815
34,7,9890,1581,3342,320,775,852,1063,457,1726,1079,341,573,162,797,4334
33,8,9915,1462,3202,217,586,724,1060,509,1852,859,350,563,276,829,3865
21,20,9889,1488,3327,367,974,666,881,472,1616,902,324,547,227,850,4009
18,23,9965,1378,3225,226,667,600,804,437,1641,810,318,531,205,855,3582
28,13,9890,1356,3067,127,385,849,1121,546,1713,823,301,628,302,995,3688
17,24,9915,1414,3314,225,631,787,1078,566,1792,798,370,666,209,838,3840
9,32,9940,1486,3332,163,495,714,1008,571,1768,825,304,618,168,989,3849
27,14,9890,1524,3252,228,619,852,1123,472,1725,931,334,627,204,952,4128
14,27,9891,1497,3412,155,418,800,1117,551,1735,936,342,533,228,946,3949
27,14,9965,1438,3312,257,731,778,1062,524,1858,951,283,650,203,1015,3911
29,12,9965,1529,3308,161,452,855,1122,559,1815,1015,333,561,274,903,4074
29,12,9890,1551,3392,233,651,947,1192,544,1824,805,362,545,286,905,4282
31,10,9865,1562,3339,182,507,894,1174,479,1758,1085,381,574,285,928,4200
32,9,9965,1403,3231,184,557,824,1083,557,1856,916,281,523,283,798,3814
20,21,10040,1559,3576,313,910,754,1051,585,1806,963,344,546,227,939,4185
26,15,9915,1387,3182,271,760,765,1018,435,1756,895,305,555,188,877,3810
25,16,9940,1352,3104,278,808,869,1092,469,1692,781,325,552,202,914,3851
27,14,10190,1517,3218,122,353,906,1175,494,1790,1029,302,619,230,927,4062
22,19,9890,1456,3263,317,892,887,1133,514,1805,883,260,570,183,862,4116
26,15,9865,1416,3155,259,760,747,1019,473,1634,839,342,553,272,905,3838
35,6,9940,1554,3199,221,619,853,1246,462,1776,838,262,510,254,860,4182
23,18,9840,1484,3245,160,450,951,1200,498,1710,903,285,533,142,864,4079
24,17,9865,1538,3328,199,570,736,920,442,1738,1023,235,490,235,888,4011
24,17,9915,1397,3230,207,596,764,976,442,1645,936,318,555,169,983,3765
11,30,9940,1408,3291,215,690,672,882,510,1649,934,262,575,162,934,3703
22,19,9915,1500,3253,220,588,830,1049,471,1657,836,330,558,122,949,4050
24,17,9865,1581,3374,174,482,889,1171,537,1840,839,327,661,241,962,4225
25,16,9965,1499,3368,258,747,891,1120,444,1744,883,392,627,147,942,4147
31,10,9890,1693,3538,394,1016,785,1038,484,1838,970,278,533,245,785,4565
18,23,9840,1461,3164,188,513,785,1070,489,1675,893,286,605,259,836,3895
30,11,9867,1660,3500,280,719,781,998,530,1783,1047,337,510,166,794,4381
38,3,9840,1479,3130,271,687,745,1035,460,1752,919,304,568,308,840,3974
26,15,9915,1474,3272,338,925,883,1112,513,1687,777,272,497,186,993,4169
22,19,9939,1487,3305,364,875,825,1067,408,1641,874,298,498,147,913,4163
18,23,9890,1419,3121,140,411,890,1172,527,1654,906,267,611,191,1088,3868
29,12,9865,1508,3409,263,770,952,1303,587,1810,803,382,556,183,911,4231
18,23,9943,1513,3274,223,594,819,1085,539,1670,836,267,564,196,997,4068
21,20,9929,1441,3125,223,636,842,1120,419,1685,879,302,640,235,958,3947
17,24,10015,1494,3455,225,661,825,1144,531,1675,854,435,572,190,975,4038
21,20,10012,1514,3361,283,752,709,970,432,1775,934,273,594,190,971,4020
31,10,9890,1482,3202,270,761,842,1145,495,1799,842,292,564,228,856,4076
34,7,9888,1492,3166,210,509,954,1229,541,1775,745,305,520,251,858,4148
26,15,10001,1589,3409,167,516,910,1250,510,1802,1046,334,567,284,939,4255
37,4,9940,1526,3321,267,720,763,1037,523,1749,1028,295,444,281,761,4082
21,20,9892,1491,3357,298,892,820,1153,492,1776,922,312,564,215,939,4100
15,26,9875,1357,3171,214,705,737,973,463,1748,793,287,559,171,895,3665
27,14,9872,1417,3126,279,762,830,1121,487,1806,860,305,600,218,866,3943
27,14,9891,1495,3194,132,392,861,1100,408,1747,934,254,549,273,903,3983
27,14,9915,1533,3315,279,800,843,1132,498,1745,919,311,524,176,928,4188
30,11,9896,1383,3043,289,785,769,1085,445,1684,808,296,544,264,868,3824
31,10,9901,1559,3138,215,661,865,1244,422,1751,820,272,567,229,924,4198
25,16,9961,1521,3288,256,670,785,1070,474,1696,968,307,583,134,944,4083
24,17,9945,1476,3206,139,430,785,1038,403,1684,943,280,544,242,944,3876
29,12,9891,1419,3185,241,742,841,1095,420,1705,1029,267,520,151,916,3920
24,17,9872,1460,3230,159,477,822,1083,484,1698,779,305,494,166,874,3901
15,26,10044,1461,3194,146,461,959,1313,541,1742,731,277,661,116,1064,4027
26,15,9955,1480,3093,133,397,871,1172,457,1712,753,276,589,180,931,3964
23,18,10045,1537,3313,187,520,910,1191,473,1713,855,336,566,195,866,4171
31,10,9944,1725,3533,433,1037,608,746,371,1717,1059,262,546,252,810,4491
15,26,9896,1436,3152,196,537,696,1001,465,1571,785,255,531,187,905,3764
27,14,9862,1503,3233,259,719,880,1121,420,1657,932,306,584,158,812,4145
34,7,9870,1525,3198,252,664,652,953,465,1768,878,269,535,262,797,3954
22,19,9922,1563,3354,312,825,871,1080,500,1641,896,316,541,156,966,4309
15,26,10024,1545,3397,302,820,828,1029,482,1624,812,268,508,157,956,4220
22,19,9916,1363,3085,160,468,900,1249,527,1779,861,262,598,268,968,3786
27,14,9892,1503,3287,231,642,1009,1318,522,1714,786,329,556,166,895,4246
25,16,10012,1542,3292,185,545,904,1154,509,1764,1009,294,575,232,840,4173
35,6,9839,1507,3125,268,739,833,1084,416,1732,1004,349,595,191,909,4115
21,20,9968,1513,3300,261,703,807,1128,465,1701,875,301,540,221,903,4094
20,21,9911,1525,3480,228,643,765,994,567,1830,917,330,569,235,860,4043
